"","Corpus","Author","Year","Case"
"1","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2014","ABC, Inc. v Aereo, Inc..txt"
"2","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Abrams v Johnson.txt"
"3","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Adoptive Couple v Baby Girl.txt"
"4","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Air Line Pilots Ass'n v Miller.txt"
"5","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Ala. Legis. Black Caucus v Alabama.txt"
"6","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Alabama v Bozeman.txt"
"7","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Alabama v North Carolina.txt"
"8","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Ali v Fed. Bureau of Prisons.txt"
"9","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Allen v Ornoski.txt"
"10","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Allentown Mack Sales & Serv. v NLRB.txt"
"11","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Alleyne v US.txt"
"12","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1995","Allied-Bruce Terminix Cos. v Dobson.txt"
"13","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Almendarez-Torres v US.txt"
"14","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Alvarez v Smith.txt"
"15","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Am. Mfrs. Mut. Ins. Co. v Sullivan.txt"
"16","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Am. Tradition P'ship, Inc. v Bullock.txt"
"17","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Am. Trucking Ass'ns v Mich. PSC.txt"
"18","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Amchem Prods. v Windsor.txt"
"19","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Angelone v Bennett.txt"
"20","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1991","Anza v Ideal Steel Supply Corp..txt"
"21","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","AP v Dist. Court.txt"
"22","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Apprendi v New Jersey.txt"
"23","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Archer v Warner.txt"
"24","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Arizona v Gant.txt"
"25","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Arlington Cent. Sch. Dist. Bd. of Educ. v Murphy.txt"
"26","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Armour v City of Indianapolis.txt"
"27","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Armstrong v Exceptional Child Ctr., Inc..txt"
"28","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Ashcroft v ACLU (2).txt"
"29","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Ashcroft v ACLU.txt"
"30","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","AT&T Corp. v Iowa Utils. Bd..txt"
"31","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","At&T Mobility LLC v Concepcion.txt"
"32","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Atherton v FDIC.txt"
"33","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Bailey v US.txt"
"34","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Baker Botts L.L.P. v ASARCO LLC.txt"
"35","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Baldwin v Reese.txt"
"36","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Bank of Am. Corp. v City of Miami.txt"
"37","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Barber v Thomas.txt"
"38","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Barnett Bank, N.A. v Nelson.txt"
"39","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Barnhart v Walton.txt"
"40","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Bartlett v Stickland.txt"
"41","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Bartnicki v Vopper.txt"
"42","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Bates v Dow Agrosciences L.L.C..txt"
"43","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Baze v Rees.txt"
"44","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Bd. of Educ. v Earls.txt"
"45","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Bd. of the Cnty. Comm'rs v Brown.txt"
"46","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Bd. of Trs. of the Leland Stanford Junior Univ. v Roche Molecular Sys..txt"
"47","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Bd. of Trs. v Garrett.txt"
"48","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","BE&K Constr. Co. v NLRB.txt"
"49","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Beard v Banks.txt"
"50","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Begay v US.txt"
"51","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Behrens v Pelletier.txt"
"52","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Bell v Thompson.txt"
"53","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2014","BG Group PLC v Republic of Arg..txt"
"54","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Bilski v Kappos.txt"
"55","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Blakely v Washington.txt"
"56","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","BMW of N. Am. v Gore.txt"
"57","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Boggs v Boggs.txt"
"58","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Bolivarian Republic of Venez. v Helmerich & Payne Int'l Drilling Co..txt"
"59","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Bond v US.txt"
"60","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2007","Boumediene v Bush.txt"
"61","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Bower v Texas.txt"
"62","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Boyer v Davis.txt"
"63","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Breard v Greene.txt"
"64","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Brooks v Alabama.txt"
"65","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Brosseau v Haugen.txt"
"66","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Brown v Entm't Merchs. Ass'n.txt"
"67","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Brown v Payton.txt"
"68","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Brown v Pro Football.txt"
"69","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Brown v Sanders.txt"
"70","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Bruesewitz v Wyeth LLC.txt"
"71","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Buchanan v Angelone.txt"
"72","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Buford v US.txt"
"73","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Bullock v BankChampaign, N.A..txt"
"74","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Burlington Northern & Santa Fe Ry. v White.txt"
"75","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Bush v Gore.txt"
"76","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Cal. Dental Ass'n v FTC.txt"
"77","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Calderon v Ashmus.txt"
"78","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Carcieri v Salazar.txt"
"79","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Carey v Saffold.txt"
"80","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Carlsbad Tech., Inc. v HIF Bio, Inc..txt"
"81","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Castillo v US.txt"
"82","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Castro v US.txt"
"83","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","CBOCS West, Inc. v Humphries.txt"
"84","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Cedric Kushner Promotions, Ltd. v King.txt"
"85","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Cent. Laborers' Pension Fund v Heinz.txt"
"86","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2014","Chadbourne & Parke LLP v Troice.txt"
"87","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Chamber of Commerce of the United States v Brown.txt"
"88","SupremeCourtCorpusFinalEncoded","BreyerCleaned",NA,"Chamber of Commerce of the United States v Whiting.txt"
"89","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Chambers v US.txt"
"90","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Cherokee Nation v Leavitt.txt"
"91","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Chickasaw Nation v US.txt"
"92","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Christensen v Harris County.txt"
"93","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Christopher v SmithKline Beecham Corp..txt"
"94","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","CIGNA Corp. v Amara.txt"
"95","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","City of Arlington v FCC.txt"
"96","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","City of Boerne v Flores.txt"
"97","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","City of Chi. v Morales.txt"
"98","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","City of Dallas v Dallas Fire Fighters Ass'n.txt"
"99","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","City of Littleton v Z. J. Gifts D-4, L.L.C..txt"
"100","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","City of Monroe v US.txt"
"101","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","City of Rancho Palos Verdes v Abrams.txt"
"102","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Clapper v Amnesty Int'l USA.txt"
"103","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Clark v Arizona.txt"
"104","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2018","Class v US.txt"
"105","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Cleveland v Policy Mgmt. Sys. Corp..txt"
"106","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Clinton v City of New York.txt"
"107","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Clinton v Jones.txt"
"108","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Coeur Alaska, Inc. v Southeast Alaska Conservation Council.txt"
"109","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Coleman v Tollefson.txt"
"110","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","College Sav. Bank v Fla. Prepaid Postsecondary Educ. Expense Bd..txt"
"111","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Colo. Republican Fed. Campaign Comm. v FEC.txt"
"112","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Comm'r v Estate of Hubert.txt"
"113","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Conkright v Frommert.txt"
"114","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Conner v Sellers (2).txt"
"115","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Conner v Sellers.txt"
"116","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Correll v Florida.txt"
"117","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","County of Sacramento v Lewis.txt"
"118","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Crawford v Marion County Election Bd..txt"
"119","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2007","Credit Suisse Sec. (USA) LLC v Billing.txt"
"120","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Cullen v Pinholster.txt"
"121","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Cuozzo Speed Techs., LLC v Lee.txt"
"122","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Czyzewski v Jevic Holding Corp..txt"
"123","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2018","Dahda v US.txt"
"124","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Daniels v US.txt"
"125","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2007","Davenport v Wash. Educ. Ass'n.txt"
"126","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Davila v Davis.txt"
"127","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Davis v US.txt"
"128","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Dean v US.txt"
"129","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2007","Deck v Missouri.txt"
"130","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Delling v Idaho.txt"
"131","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Demore v Hyung Joon Kim.txt"
"132","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Denver Area Educ. Telcoms. Consortium v FCC.txt"
"133","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Dickinson v Zurko.txt"
"134","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","DIRECTV, Inc. v Imburgia.txt"
"135","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","District of Columbia v Heller.txt"
"136","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Dixon v US.txt"
"137","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","DOC v United States House of Representatives.txt"
"138","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Doe v Chao.txt"
"139","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Doe v Reed.txt"
"140","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Dolan v US.txt"
"141","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Dole Food Co. v Patrickson.txt"
"142","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Dorsey v US.txt"
"143","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Douglas v Indep. Living Ctr. of S. Cal., Inc..txt"
"144","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Duncan v Walker.txt"
"145","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Dunn v Madison.txt"
"146","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Dura Pharms., Inc. v Broudo.txt"
"147","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","E. Associated Coal Corp. v Mine Workers.txt"
"148","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","E. Enters v Apfel.txt"
"149","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Easley v Cromartie.txt"
"150","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Edwards v Carpenter.txt"
"151","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Edwards v US.txt"
"152","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Egelhoff v Egelhoff.txt"
"153","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Eldred v Ashcroft.txt"
"154","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Elledge v Florida.txt"
"155","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Empire HealthChoice Assur., Inc. v McVeigh.txt"
"156","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Entergy Corp. v Riverkeeper, Inc..txt"
"157","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Evans v Chavis.txt"
"158","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Ewing v California.txt"
"159","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Expressions Hair Design v Schneiderman.txt"
"160","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Exxon Shipping Co. v Baker.txt"
"161","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","F. Hoffman-La Roche Ltd v Empagran S.A..txt"
"162","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","FCC v Fox TV Stations, Inc..txt"
"163","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","FCC v NextWave Pers. Communs. Inc..txt"
"164","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","FDA v Brown & Williamson Tobacco Corp..txt"
"165","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","FEC v Akins.txt"
"166","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Fed. Republic of Germany v US.txt"
"167","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1995","Field v Mans.txt"
"168","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2014","Fifth Third Bancorp v Dudenhoeffer.txt"
"169","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Fiore v White.txt"
"170","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1995","First Options of Chicago, Inc. v Kaplan.txt"
"171","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Fitzgerald v Racing Ass'n.txt"
"172","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Fla. Dep't of Revenue v Piccadilly Cafeterias, Inc..txt"
"173","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Florence v Bd. of Chosen Freeholders.txt"
"174","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Flores-Figueroa v US.txt"
"175","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","FMC v S.C. State Ports. Auth..txt"
"176","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1984","Forney v Apfel.txt"
"177","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Foster v Florida.txt"
"178","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Fowler v US.txt"
"179","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Franchise Tax Bd. v Hyatt.txt"
"180","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Free Enter. Fund v Pub. Co. Accounting Oversight Bd..txt"
"181","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2007","Fry v Pliler.txt"
"182","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","FTC v Actavis, Inc..txt"
"183","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Gallow v Cooper.txt"
"184","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Garcetti v Ceballos.txt"
"185","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Garcia v Texas.txt"
"186","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","GE v Joiner.txt"
"187","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Geier v Am. Honda Motor Co..txt"
"188","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Georgia v Randolph.txt"
"189","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Giles v California.txt"
"190","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Gitlitz v Comm'r.txt"
"191","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2007","Global Crossing Telecomms., Inc. v Metrophones Telecomms., Inc..txt"
"192","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Glossip v Gross.txt"
"193","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Gloucester Cnty. Sch. Bd. v G.G..txt"
"194","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Gobeille v Liberty Mut. Ins. Co..txt"
"195","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Golan v Holder.txt"
"196","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Gonzaga Univ. v Doe.txt"
"197","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2007","Gonzales v Duenas-Alvarez.txt"
"198","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Gonzalez v Crosby.txt"
"199","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Good News Club v Milford Cent. Sch..txt"
"200","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Graham County Soil & Water Conservation Dist. v United States ex rel. WIlson.txt"
"201","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Gratz v Bollinger.txt"
"202","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1998","Gray v Maryland.txt"
"203","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Green Tree Fin. Corp. v Bazzle.txt"
"204","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Greenlaw v US.txt"
"205","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Gross v FBL Fin. Servs..txt"
"206","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Hall St. Assocs., L.L.C. v Mattel, Inc..txt"
"207","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Hall v US.txt"
"208","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Halo Elecs., Inc. v Pulse Elecs., Inc..txt"
"209","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Hamdan v Rumsfeld.txt"
"210","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2018","Hamm v Dunn.txt"
"211","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1983","Harris v Ariz. Indep. Redistricting Comm'n.txt"
"212","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Harris v US.txt"
"213","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Heffernan v City of Paterson.txt"
"214","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1995","Heintz v Jenkins.txt"
"215","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Hemi Group, LLC, v City of New York.txt"
"216","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Henderson v US.txt"
"217","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Hercules Inc. v US.txt"
"218","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2003","Hernandez v Mesa.txt"
"219","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Herring v US.txt"
"220","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Hertz Corp. v Friend.txt"
"221","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2018","Hidalgo v Arizona.txt"
"222","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Hiibel v Sixth Judicial Dist. Court.txt"
"223","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Hoffman Plastic Compounds, Inc. v NLRB.txt"
"224","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Holder v Humanitarian Law Project.txt"
"225","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Holland v Florida.txt"
"226","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Hollingsworth v Perry (2).txt"
"227","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Hollingsworth v Perry.txt"
"228","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1985","Horne v Dep't of Agric..txt"
"229","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2009","Horne v Flores.txt"
"230","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Howell v Howell.txt"
"231","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Howsam v Dean Witter Reynolds.txt"
"232","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2006","Hudson v Michigan.txt"
"233","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Hudson v US.txt"
"234","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2000","Hunt-Wesson, Inc. v Franchise Tax Bd..txt"
"235","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2016","Hurst v Florida.txt"
"236","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Illinois v Lidster.txt"
"237","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2001","Illinois v McArthur.txt"
"238","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","In re United States.txt"
"239","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Indiana v Edwards.txt"
"240","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Intel Corp. v Advanced Micro Devices, Inc..txt"
"241","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Irizarry v US.txt"
"242","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","J. McIntyre Mach., Ltd. v Nicastro.txt"
"243","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","J.E.M. Ag Supply, Inc. v Pioneer Hi-Bred Int'l, Inc..txt"
"244","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Janus Capital Group, Inc. v First Derivative Traders.txt"
"245","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Jefferson County v Acker.txt"
"246","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2018","Jennings v Rodriguez.txt"
"247","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","Jerman v Carlisle, McNellie, Rini, Kramer & Ulrich, L.P.A..txt"
"248","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Johanns v Livestock Mktg. Ass'n.txt"
"249","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","John R. Sand & Gravel Co. v US.txt"
"250","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2005","Johnson v California.txt"
"251","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1995","Johnson v Jones.txt"
"252","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2017","Johnson v Kelley.txt"
"253","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2004","Kansas v Colorado.txt"
"254","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2002","Kansas v Crane.txt"
"255","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1997","Kansas v Hendricks.txt"
"256","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2011","Kasten v Saint-Gobain Performance Plastics Corp..txt"
"257","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Kelly v California.txt"
"258","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Kerry v Din.txt"
"259","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2015","Kingsley v Hendrickson.txt"
"260","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Kiobel v Royal Dutch Petro. Co..txt"
"261","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2013","Kirtsaeng v John Wiley & Sons, Inc..txt"
"262","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Knight v Florida.txt"
"263","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2012","Knox v SEIU, Local 1000.txt"
"264","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1996","Koon v US.txt"
"265","SupremeCourtCorpusFinalEncoded","BreyerCleaned","1999","Kumho Tire Co. v Carmichael.txt"
"266","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2008","Ky. Ret. Sys. v EEOC.txt"
"267","SupremeCourtCorpusFinalEncoded","BreyerCleaned","2010","L.A. County v Humphries.txt"
