"","Corpus","Author","Year","Case"
"5314","SupremeCourtCorpusFinalEncoded","StevensCleaned","1979","Leis v Flynt.txt"
"5315","SupremeCourtCorpusFinalEncoded","StevensCleaned","1979","Leroy v Great W. United Corp..txt"
"5316","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lewis v Casey.txt"
"5317","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lewis v US.txt"
"5318","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Liles v Oregon.txt"
"5319","SupremeCourtCorpusFinalEncoded","StevensCleaned","1988","Liljeberg v Health Servs. Acquisition Corp..txt"
"5320","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lilly v Virginia.txt"
"5321","SupremeCourtCorpusFinalEncoded","StevensCleaned","1988","Lingle v Norge Div. of Magic Chef.txt"
"5322","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Litton Financial Printing Division v National Labor Relations Board.txt"
"5323","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Local 144 Nursing Home Pension Fund v Demisay.txt"
"5324","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","Local No. 82, Furniture & Piano Moving v Crowley.txt"
"5325","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lockhart v Fretwell.txt"
"5326","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lopez v Davis.txt"
"5327","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lorance v AT&T Technologies.txt"
"5328","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lorillard Tobacco v Reilly.txt"
"5329","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Los Angeles Police Department v United Reporting Publishing Corporation.txt"
"5330","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Loving v US.txt"
"5331","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lowe v Pogue.txt"
"5332","SupremeCourtCorpusFinalEncoded","StevensCleaned","1985","Lowe v SEC.txt"
"5333","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lucas v South Carolina Coastal Council.txt"
"5334","SupremeCourtCorpusFinalEncoded","StevensCleaned","1976","Ludwig v Massachusetts.txt"
"5335","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lujan v Defenders of Wildlife.txt"
"5336","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Lynce v Mathis.txt"
"5337","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Lyng v Castillo.txt"
"5338","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Lyng v Payne.txt"
"5339","SupremeCourtCorpusFinalEncoded","StevensCleaned","1981","M. v Superior Court.txt"
"5340","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","Mabry v Johnson.txt"
"5341","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Macdonald v County of Yolo.txt"
"5342","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Macharia v Hodel.txt"
"5343","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Madsen v Women's Health Center.txt"
"5344","SupremeCourtCorpusFinalEncoded","StevensCleaned","1983","Maggio v Williams.txt"
"5345","SupremeCourtCorpusFinalEncoded","StevensCleaned","1980","Maher v Gagne.txt"
"5346","SupremeCourtCorpusFinalEncoded","StevensCleaned","1986","Maine v Taylor.txt"
"5347","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Maislin Industries v Primary Steel.txt"
"5348","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Major League Baseball Players Association v Garvey.txt"
"5349","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mallard v United States District Court for Southern District.txt"
"5350","SupremeCourtCorpusFinalEncoded","StevensCleaned","1977","Mandel v Bradley.txt"
"5351","SupremeCourtCorpusFinalEncoded","StevensCleaned","1977","Manson v Brathwaite.txt"
"5352","SupremeCourtCorpusFinalEncoded","StevensCleaned","1979","Marchioro v Chaney.txt"
"5353","SupremeCourtCorpusFinalEncoded","StevensCleaned","1977","Marks v US.txt"
"5354","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Marrama v. Citizens Bank of Massachusetts.txt"
"5355","SupremeCourtCorpusFinalEncoded","StevensCleaned","1983","Marsh v Chambers.txt"
"5356","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Marsh v Oregon Natural Resources Council.txt"
"5357","SupremeCourtCorpusFinalEncoded","StevensCleaned","1978","Marshall v Barlow's Inc.txt"
"5358","SupremeCourtCorpusFinalEncoded","StevensCleaned","1983","Marshall v Lonberger.txt"
"5359","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Marshall v Marshall.txt"
"5360","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Martin v Knox.txt"
"5361","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Martin v Wilks.txt"
"5362","SupremeCourtCorpusFinalEncoded","StevensCleaned","1980","Martinez v Cal..txt"
"5363","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Martinez v Court of Appeal of California.txt"
"5364","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Maryland v Buie.txt"
"5365","SupremeCourtCorpusFinalEncoded","StevensCleaned","1987","Maryland v Garrison.txt"
"5366","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Maryland v Wilson.txt"
"5367","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Maryland v. Shatzer.txt"
"5368","SupremeCourtCorpusFinalEncoded","StevensCleaned","1985","Mass. Mut. Life Ins. Co. v Russell.txt"
"5369","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Massachusetts v Morash.txt"
"5370","SupremeCourtCorpusFinalEncoded","StevensCleaned","1984","Massachusetts v Upton.txt"
"5371","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Massachusetts v. EPA.txt"
"5372","SupremeCourtCorpusFinalEncoded","StevensCleaned","1976","Mathews v Diaz.txt"
"5373","SupremeCourtCorpusFinalEncoded","StevensCleaned","1976","Mathews v Lucas.txt"
"5374","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mattiza v Texas.txt"
"5375","SupremeCourtCorpusFinalEncoded","StevensCleaned",NA,"Mazurek v Armstrong.txt"
