,Author,Mean Sentiment,Standard Deviation
1,Breyer,0.098738052,0.208282341
2,Ginsburg,0.060963721,0.210450597
3,Kennedy,0.108702811,0.229837919
4,OConnor,0.142569643,0.389671296
5,Rehnquist,0.1577281,0.329660513
6,Scalia,0.065494052,0.291191636
7,Souter,0.131401353,0.208543
8,Stevens,0.137504625,0.288752013
9,Thomas,0.043263784,0.291382214
