Feature,Mean Difference,Gender
ready,0.0772,F
app,0.07685,F
dist,0.076742857,F
perceived,0.07668,F
courtroom,0.0765,F
tie,0.0764,F
struck,0.0762,F
associates,0.0761,F
concurrence,0.07608,F
achieving,0.0759,F
furthers,0.0758,F
reconsideration,0.0757,F
supplemental,0.0757,F
wildlife,0.0756,F
punitive,0.075575,F
unnecessarily,0.0752,F
protective,0.0748,F
hazardous,0.0746,F
participant,0.0746,F
theories,0.0746,F
framework,0.074366667,F
particular,0.0739,F
asserted,0.07375,F
damage,0.073714286,F
costs,0.073688889,F
female,0.0736,F
ore,0.0736,F
waivers,0.0736,F
facially,0.0729,F
johnson,0.072888889,F
post,0.072866667,F
woman,0.07284,F
embrace,0.0728,F
seq,0.072771429,F
flag,0.072714286,F
receiving,0.072633333,F
key,0.0726,F
montana,0.072566667,F
cut,0.0725,F
agrees,0.07244,F
mission,0.0723,F
odds,0.07224,F
life,0.07218,F
benefits,0.07204,F
exceed,0.0719,F
police,0.071766667,F
motor,0.07155,F
dilution,0.0715,F
warnings,0.0715,F
classes,0.07144,F
railway,0.0714,F
opportunities,0.07132,F
professional,0.0712,F
searches,0.0712,F
reduce,0.071066667,F
applicant,0.071,F
characteristics,0.071,F
certified,0.071,F
th,0.070977778,F
state's,0.07096,F
proposed,0.070866667,F
evaluate,0.07084,F
coercion,0.0708,F
citizenship,0.070771429,F
exceeds,0.0707,F
questionable,0.0706,F
disadvantage,0.0705,F
disposal,0.0705,F
obliged,0.0704,F
reg,0.07004,F
abuse,0.069925,F
controls,0.0699,F
responsibilities,0.06988,F
routinely,0.0698,F
hired,0.0697,F
incidence,0.0697,F
d.c,0.0696,F
unrelated,0.069428571,F
articulated,0.0694,F
legislature's,0.0693,F
competence,0.0692,F
overt,0.0692,F
nat,0.069,F
pa,0.068971429,F
impermissible,0.068933333,F
iv,0.0689,F
operates,0.06888,F
declines,0.0688,F
privacy,0.0688,F
inevitably,0.06875,F
oregon,0.068633333,F
ignored,0.0683,F
affidavits,0.0682,F
genuine,0.068,F
instant,0.068,F
arrest,0.067925,F
referendum,0.0679,F
afford,0.067833333,F
http,0.06775,F
accurately,0.0677,F
organizations,0.067571429,F
position,0.06756,F
channel,0.0672,F
sustained,0.0672,F
regarded,0.067166667,F
trucking,0.0671,F
aggregate,0.067,F
essence,0.06684,F
joint,0.0668,F
conscious,0.06675,F
exclusionary,0.0664,F
fed,0.066375,F
invalidate,0.06635,F
medical,0.0662,F
powell,0.0662,F
fewer,0.0661,F
collected,0.066,F
earning,0.066,F
friendly,0.066,F
n.y,0.066,F
promote,0.065971429,F
thompson,0.065914286,F
part,0.065661538,F
suffer,0.06564,F
caused,0.0656,F
survey,0.0655,F
undermined,0.0655,F
supplied,0.0653,F
between,0.065184615,F
instructed,0.065133333,F
obligations,0.065,F
opt,0.065,F
times,0.064822222,F
understandable,0.0648,F
plaintiff's,0.064633333,F
incorporation,0.0646,F
