,Author,Concurring,Dissenting,Total,Concurring percent,Dissent percent
1,Breyer,62,135,392,15.8,34.4
2,Ginsburg,58,90,326,17.8,27.6
3,Kennedy,89,79,418,21.2,18.9
4,OConnor,89,106,520,17.1,20.4
5,Rehnquist,44,248,781,5.6,31.8
6,Scalia,106,205,647,16.4,31.7
7,Souter,50,83,278,18,29.9
8,Stevens,160,442,1022,15.7,43.2
9,Thomas,89,155,478,18.6,32.4
