,Author,Mean Sentiment,Standard Deviation
1,Breyer,0.082807459,0.246191034
2,Ginsburg,0.061919343,0.234182735
3,Kennedy,0.117811506,0.255666002
4,OConnor,0.122903349,0.322982161
5,Rehnquist,0.124780755,0.30263192
6,Scalia,0.091961167,0.317063199
7,Souter,0.099434665,0.296029988
8,Stevens,0.161743504,0.300807595
9,Thomas,0.064647341,0.291138856
