,Justice,Mean Sentiment
1,Stevens,0.161743504
2,Rehnquist,0.124780755
3,OConnor,0.122903349
4,Kennedy,0.117811506
5,Souter,0.099434665
6,Scalia,0.091961167
7,Breyer,0.082807459
8,Thomas,0.064647341
9,Ginsburg,0.061919343
