Feature,Mean Difference,Gender
low,0.026733333,F
harassment,0.02664,F
district,0.0266,F
supervisors,0.0266,F
plaintiffs,0.026533333,F
facial,0.02652,F
banc,0.026514286,F
occasions,0.0265,F
reversing,0.0265,F
immigration,0.026433333,F
finality,0.026266667,F
once,0.026266667,F
emotional,0.02624,F
employer's,0.026166667,F
indicated,0.026114286,F
gender,0.0261,F
del,0.026,F
top,0.026,F
compel,0.025966667,F
affirmed,0.025955556,F
smith,0.0259,F
directs,0.0258,F
institutional,0.0258,F
pattern,0.025633333,F
exceptional,0.0256,F
relates,0.0256,F
test,0.025509091,F
lhwca,0.0255,F
jones,0.025485714,F
conclude,0.025422222,F
mich,0.025333333,F
recipient,0.0253,F
code,0.025254545,F
convictions,0.02515,F
alleging,0.025028571,F
dictates,0.025,F
completely,0.024966667,F
rulings,0.02495,F
dismissing,0.0249,F
ready,0.0249,F
complied,0.024866667,F
direct,0.024822222,F
period,0.024781818,F
showed,0.02475,F
rightly,0.0244,F
nevertheless,0.0243,F
deliberately,0.0242,F
virginia,0.024155556,F
operations,0.024114286,F
compare,0.024025,F
supplemental,0.024,F
i.e,0.02395,F
owed,0.02395,F
ascertain,0.0239,F
backpay,0.0239,F
appealed,0.023833333,F
leave,0.023711111,F
motions,0.0237,F
precedent,0.023622222,F
challenge,0.02362,F
bia,0.0236,F
pursued,0.0236,F
postconviction,0.023533333,F
consecutive,0.0235,F
religion,0.0234,F
verdicts,0.0233,F
for,0.023271429,F
aliens,0.023142857,F
dakota,0.023,F
lists,0.023,F
work,0.02294,F
retain,0.022933333,F
responded,0.0229,F
ward,0.0229,F
full,0.022844444,F
attorney,0.02282,F
possess,0.022766667,F
adequacy,0.0227,F
alteration,0.0227,F
files,0.0227,F
filed,0.02265,F
heavy,0.0226,F
debts,0.0225,F
became,0.022285714,F
notwithstanding,0.022257143,F
operative,0.0222,F
instance,0.022133333,F
postal,0.022033333,F
procedure,0.02202,F
officer's,0.022,F
beliefs,0.0219,F
dissented,0.0219,F
removed,0.021857143,F
advances,0.0216,F
diversity,0.0216,F
harlow,0.0216,F
incarceration,0.0216,F
secure,0.021514286,F
fla,0.021433333,F
ariz,0.02115,F
dist,0.021142857,F
reasonable,0.021138462,F
burglary,0.02112,F
bus,0.0211,F
workplace,0.021066667,F
users,0.021,F
discharge,0.020925,F
requirement,0.020916667,F
