,Author,Mean,Standard Deviation,Dissent Mean ,Dissent SD,Cocurring Mean,Concurring SD,,,Mean2Dissent,SD2Dissent
1,Breyer,0.082807459,0.246191034,0.098738052,0.208282341,0.174687284,0.253328468,,,increase,decrease
2,Ginsburg,0.061919343,0.234182735,0.060963721,0.210450597,0.030456686,0.310718564,,,decrease,decrease
3,Kennedy,0.117811506,0.255666002,0.108702811,0.229837919,0.206170075,0.355299296,,,decrease,decrease
4,OConnor,0.122903349,0.322982161,0.142569643,0.389671296,0.189105725,0.389989346,,,increase,large increase
5,Rehnquist,0.124780755,0.30263192,0.1577281,0.329660513,0.241701609,0.382353008,,,increase,increase
6,Scalia,0.091961167,0.317063199,0.065494052,0.291191636,0.152398355,0.370070141,,,decrease,decrease
7,Souter,0.099434665,0.296029988,0.131401353,0.208543,0.204696839,0.512971462,,,increase,decrease
8,Stevens,0.161743504,0.300807595,0.137504625,0.288752013,0.314452011,0.407037481,,,decrease,decrease
9,Thomas,0.064647341,0.291138856,0.043263784,0.291382214,0.070131393,0.301118088,,,decrease,insig. Increase
